,commentText,commentClassification,length
3565,can we put it in variable ?,buggycode suggestion,27
3567,please test with data then close it .,completeness suggestion,37
3570,why removed this condition of orderid ? ?,questioning,41
3571,are you sure you need to skip position ? ?,buggycode suggestion,42
3572,if we don t need it then we can remove it right now .,refactoring suggestion,53
3573,there is no rest called remove please rename it as delete .,spelling suggestion,59
3574,have you tested this in redshift server ?,completeness suggestion,41
3576,get it verified once,completeness suggestion,20
3577,as per today s discussion we planned to change the interval to hours . please check .,buggycode suggestion,85
3578,why are we using custommessageid ? isn t notificationid enough ?,questioning,64
3579,please add recursive ,logical suggestion,21
3580,please resolve conflicts .,logistics suggestion,26
3582,enums are meant to be a constant type . this is as good as treating it as variables . ,buggycode suggestion,86
3583,spaced after comma ,refactoring suggestion,19
3584,not recommended . please follow below comment on listitemiconstyle .js ,buggycode suggestion,71
3586,remove this function also . this also can be taken from skunit hashmap,code suggestion,70
3587,this is checked with product ?,questioning,30
3588,change it to div ,spelling suggestion,17
3589,can we also check if val is an array . .,code suggestion,40
3590,spaces after and before are alternatively random .,refactoring suggestion,50
3591, cdaaddc c d b e why the to fro between multiple data source and now this user service ? ,questioning,89
3592, key cartproductitem cartitem .id point down key cart product item cartitem .id ,code suggestion,80
3593,correct indentations .,refactoring suggestion,22
3594,remove commented code,refactoring suggestion,21
3595,please mege the query from drop column batch id .,code suggestion,49
3597,remove this,refactoring suggestion,11
3599,primary warehouse erpid index indexes is being used .,code suggestion,53
3600,token can be in core .php is better for using dev or prod or staging differently na .,logical suggestion,85
3601,is it the way of naming variable ?,spelling suggestion,34
3603,spelling,spelling suggestion,8
3604,handle to circular case . . . . indirect circular ,code suggestion,50
3605, ffc ed dbf da ae same here . use react .fragment instead of ,code suggestion,61
3607,do we really need the operationservice ?,questioning,40
3608, b c a beeaebbdf please do so it s not much a change here,completeness suggestion,57
3609,this variable name will be changed by mathan . please use the new variable,code suggestion,74
3612,why this change ?,questioning,17
3613,correct spelling,spelling suggestion,16
3616,change function name as this is not a function which sends sendactivityreportcsv .,spelling suggestion,82
3617,this may can give error .,buggycode suggestion,25
3619,please give proper name to datapresent maybe like data present from response,spelling suggestion,76
3620,please create the proper api s for get this should not be the format of api .,buggycode suggestion,77
3621,update version .,logistics suggestion,16
3622,please get it verified and update the pr will merge after we get the update .,completeness suggestion,77
3625,comment not addressed,completeness suggestion,21
3626,can be in constants file,buggycode suggestion,24
3627,clean up please,refactoring suggestion,15
3628,any reason we are putting this ? what is the problem you are facing without this .,questioning,82
3629,why removed this,questioning,16
3630,indentation is wrong,refactoring suggestion,20
3631,approving as this is agreed by the team that support will be added later .,logistics suggestion,74
3632,why index won t work ?,questioning,22
3633,remove this and use helper function,reuse suggestion,35
3634,is it verified ?,questioning,16
3636,we can use list that do same what you have done in below for loop .,code suggestion,67
3637,please resolve conflict .,logistics suggestion,25
3638,can we put this in a variable ?,buggycode suggestion,31
3639,please try to write a common function i see too many duplicate code .,buggycode suggestion,69
3640,code is breaking for report admin in sales trend geo view,buggycode suggestion,57
3642, why we are complicating it ? make widget name as required and show error .,code suggestion,75
3643,keep this import with other material ui imports .,code suggestion,49
3644,please verify the inactive sku issue if any . merging these changes as it seems fine .,completeness suggestion,86
3645,try use object .null ,code suggestion,21
3647,please update .,completeness suggestion,15
3648,please handle the case when there is no outlets . the query will fail at run time,buggycode suggestion,81
3649,use constant value,buggycode suggestion,18
3650,correct indentation single tab needed .,refactoring suggestion,39
3651,can we write mapper for cartitemtoexternalskunitmapper ,code suggestion,55
3652, ,logistics suggestion,1
3653,why foreach ? can it not be done in one flow ?,buggycode suggestion,46
3654,please use constants,buggycode suggestion,20
3655,resolve conflict .,logistics suggestion,18
3656,why are you setting the projections here ? please explain .,questioning,59
3658,discount too should be multiplied with quantity,buggycode suggestion,47
3660,re executable query .,buggycode suggestion,21
3661,we can remove this in the above loop,refactoring suggestion,36
3662,dont use findviewbyid direct use textview header as object . refactore this in entire class,buggycode suggestion,91
3663,keep these variables at function level,code suggestion,38
3664,what if api result false come . add check for that also,code suggestion,55
3665,end value taking start date ?,buggycode suggestion,29
3666,verified ,logistics suggestion,9
3668,remove attendanceutils .donotshowattendancescreen context from here ,refactoring suggestion,68
3669,remove this,refactoring suggestion,11
3670,remove this string literal as it s not required any more .,refactoring suggestion,58
3671,why assertion error at merge function ?,questioning,39
3672,set single return .,code suggestion,19
3673,space again ?,refactoring suggestion,13
3674,but filterselection value go as outlet id ! in where condition of the query when it s reset .,logical suggestion,93
3675, e a b fe a c ad c it will never happen in payground . check my above comment point up ,buggycode suggestion,87
